Hora,PMA,Speed,SPL,SNR,Calado,Direct,Indirect,Detections,Alone,Visible,Duration,Ideal
-0.996105448,28.3475,22.7041,147.1478,14.2866,12.3,30.66709566,46.0572552,3,75.66666667,1,4.1,1
-0.091356784,29.5248,24.4989,144.791,12.9366,12.3,31.7585235,46.79106555,2,19.83333333,1,10.5,-1
0.136003764,42.6344,22.8553,145.8063,16.9416,12.3,44.21065554,55.99448244,1,86,1,11.9,1
0.136003764,42.6344,22.8553,145.0928,16.3406,12.3,44.21065554,55.99448244,1,93.33333333,1,9.8,1
0.5321992,43.4283,18.4989,139.1689,12.7398,12.3,44.97674111,56.6013007,1,18.16666667,1,17.4,1
-0.007635741,48.7595,20.2348,135.1449,16.3815,12.3,50.14358224,60.7879827,0,30,1,15.7,-1
0.182164021,51.5894,26.1086,156.4694,10.5607,12.3,52.89949142,63.0805532,0,30,1,11.2,1
-0.624106905,61.513,20.8717,145.4498,6.3746,12.3,62.61580606,71.42505981,2,65.33333333,-1,0,-1
0.97090834,75.5826,26.3782,135.4718,18.0104,12.3,76.48280475,83.8475964,4,31.66666667,1,9.65,-1
-0.578450984,188.4039,22.087,142.0951,8.5459,12.3,188.7668391,191.8690166,1,40,-1,0,-1
-0.801906007,51.3753,26.2095,143.5718,12.6324,10,53.24867557,61.60699189,1,33.83333333,-1,0,-1
-0.992014125,61.5659,21.6933,132.0834,4.5601,10,63.13762779,70.33036359,1,65.33333333,-1,0,-1
0.701635067,108.2059,20.3411,124.0219,9.1329,10,109.1078219,113.4218533,3,0.333333333,-1,0,-1
-0.960779154,144.6439,17.5918,146.7942,13.9512,10,145.3198466,148.5861966,0,30,-1,0,-1
-0.553633813,236.9658,15.2738,139.9081,4.4505,10,237.3790015,239.3925445,1,10.16666667,-1,0,-1
0.910383002,239.5364,13.2979,137.0804,5.8646,10,239.9451748,241.9373616,1,7.166666667,-1,0,-1
0.90473414,584.4573,27.7677,140.076,19.073,10,584.6249529,585.4454163,-1,0,1,30,1
0.711974982,150.7897,16.6004,141.6929,12.3969,5.8,151.8840796,153.7061275,2,23.83333333,1,12,-1
